ZONE	i=65	j=49
	3.7500000000000000E-01,	1.5440711201662621E-01
	4.0625000000000000E-01,	1.5957806348143991E-01
	4.3750000000000000E-01,	1.6474901494625371E-01
	4.6875000000000000E-01,	1.6991996641106741E-01
	5.0000000000000000E-01,	1.7509091787588121E-01
	5.3125000000000000E-01,	1.6991996641106741E-01
	5.6250000000000000E-01,	1.6474901494625371E-01
	5.9375000000000000E-01,	1.5957806348143991E-01
	6.2500000000000000E-01,	1.5440711201662621E-01
	6.5625000000000000E-01,	1.4923616055181249E-01
	6.8750000000000000E-01,	1.4406520908699871E-01
	7.1875000000000000E-01,	1.3889425762218499E-01
	7.5000000000000000E-01,	1.3372330615737121E-01
	7.8125000000000000E-01,	1.2855235469255749E-01
	8.1250000000000000E-01,	1.2338140322774380E-01
	8.4375000000000000E-01,	1.1821045176293001E-01
	8.7500000000000000E-01,	1.1303950029811630E-01
	9.0625000000000000E-01,	1.0786854883330250E-01
	9.3750000000000000E-01,	1.0269759736848880E-01
	9.6875000000000000E-01,	9.7526645903675060E-02
	1.0000000000000000E+00,	9.2355694438861338E-02
	1.0312500000000000E+00,	9.2355694438861324E-02
	1.0625000000000000E+00,	9.2355694438861338E-02
	1.0937500000000000E+00,	9.2355694438861338E-02
	1.1250000000000000E+00,	9.2355694438861324E-02
	1.1562500000000000E+00,	9.2355694438861310E-02
	1.1875000000000000E+00,	9.2355694438861324E-02
	1.2187500000000000E+00,	9.2355694438861338E-02
	1.2500000000000000E+00,	9.2355694438861324E-02
	1.2812500000000000E+00,	9.2355694438861324E-02
	1.3125000000000000E+00,	9.2355694438861324E-02
	1.3437500000000000E+00,	9.2355694438861324E-02
	1.3750000000000000E+00,	9.2355694438861324E-02
	1.4062500000000000E+00,	9.2355694438861324E-02
	1.4375000000000000E+00,	9.2355694438861338E-02
	1.4687500000000000E+00,	9.2355694438861324E-02
	1.5000000000000000E+00,	9.2355694438861324E-02
	-5.0000000000000000E-01,	1.2320110082643029E-01
	-4.6875000000000000E-01,	1.2320110082643029E-01
	-4.3750000000000000E-01,	1.2320110082643040E-01
	-4.0625000000000000E-01,	1.2320110082643029E-01
	-3.7500000000000000E-01,	1.2320110082643040E-01
	-3.4375000000000000E-01,	1.2320110082643029E-01
	-3.1250000000000000E-01,	1.2320110082643040E-01
	-2.8125000000000000E-01,	1.2320110082643040E-01
	-2.5000000000000000E-01,	1.2320110082643029E-01
	-2.1875000000000000E-01,	1.2320110082643029E-01
	-1.8750000000000000E-01,	1.2320110082643029E-01
	-1.5625000000000000E-01,	1.2320110082643029E-01
	-1.2500000000000000E-01,	1.2320110082643040E-01
	-9.3750000000000000E-02,	1.2320110082643029E-01
	-6.2500000000000000E-02,	1.2320110082643029E-01
	-3.1250000000000000E-02,	1.2320110082643029E-01
	0.0000000000000000E+00,	1.2320110082643029E-01
	3.1250000000000000E-02,	1.2825874234588891E-01
	6.2500000000000000E-02,	1.3331638386534761E-01
	9.3750000000000000E-02,	1.3837402538480620E-01
	1.2500000000000000E-01,	1.4343166690426479E-01
	1.5625000000000000E-01,	1.4848930842372349E-01
	1.8750000000000000E-01,	1.5354694994318199E-01
	2.1875000000000000E-01,	1.5860459146264069E-01
	2.5000000000000000E-01,	1.6366223298209931E-01
	2.8125000000000000E-01,	1.6871987450155790E-01
	3.1250000000000000E-01,	1.7377751602101649E-01
	3.4375000000000000E-01,	1.7883515754047510E-01
	3.7500000000000000E-01,	1.8389279905993380E-01
	4.0625000000000000E-01,	1.8895044057939239E-01
	4.3750000000000000E-01,	1.9400808209885101E-01
	4.6875000000000000E-01,	1.9906572361830971E-01
	5.0000000000000000E-01,	2.0412336513776819E-01
	5.3125000000000000E-01,	1.9906572361830971E-01
	5.6250000000000000E-01,	1.9400808209885101E-01
	5.9375000000000000E-01,	1.8895044057939239E-01
	6.2500000000000000E-01,	1.8389279905993380E-01
	6.5625000000000000E-01,	1.7883515754047519E-01
	6.8750000000000000E-01,	1.7377751602101660E-01
	7.1875000000000000E-01,	1.6871987450155801E-01
	7.5000000000000000E-01,	1.6366223298209931E-01
	7.8125000000000000E-01,	1.5860459146264069E-01
	8.1250000000000000E-01,	1.5354694994318199E-01
	8.4375000000000000E-01,	1.4848930842372340E-01
	8.7500000000000000E-01,	1.4343166690426479E-01
	9.0625000000000000E-01,	1.3837402538480620E-01
	9.3750000000000000E-01,	1.3331638386534761E-01
	9.6875000000000000E-01,	1.2825874234588891E-01
	1.0000000000000000E+00,	1.2320110082643040E-01
	1.0312500000000000E+00,	1.2320110082643029E-01
	1.0625000000000000E+00,	1.2320110082643040E-01
	1.0937500000000000E+00,	1.2320110082643040E-01
	1.1250000000000000E+00,	1.2320110082643029E-01
	1.1562500000000000E+00,	1.2320110082643029E-01
	1.1875000000000000E+00,	1.2320110082643029E-01
	1.2187500000000000E+00,	1.2320110082643040E-01
	1.2500000000000000E+00,	1.2320110082643029E-01
	1.2812500000000000E+00,	1.2320110082643029E-01
	1.3125000000000000E+00,	1.2320110082643029E-01
	1.3437500000000000E+00,	1.2320110082643029E-01
	1.3750000000000000E+00,	1.2320110082643029E-01
	1.4062500000000000E+00,	1.2320110082643029E-01
	1.4375000000000000E+00,	1.2320110082643040E-01
	1.4687500000000000E+00,	1.2320110082643029E-01
	1.5000000000000000E+00,	1.2320110082643029E-01
	-5.0000000000000000E-01,	1.5407555905969511E-01
	-4.6875000000000000E-01,	1.5407555905969511E-01
	-4.3750000000000000E-01,	1.5407555905969511E-01
	-4.0625000000000000E-01,	1.5407555905969500E-01
	-3.7500000000000000E-01,	1.5407555905969511E-01
	-3.4375000000000000E-01,	1.5407555905969511E-01
	-3.1250000000000000E-01,	1.5407555905969511E-01
	-2.8125000000000000E-01,	1.5407555905969511E-01
	-2.5000000000000000E-01,	1.5407555905969511E-01
	-2.1875000000000000E-01,	1.5407555905969500E-01
	-1.8750000000000000E-01,	1.5407555905969511E-01
	-1.5625000000000000E-01,	1.5407555905969511E-01
	-1.2500000000000000E-01,	1.5407555905969511E-01
	-9.3750000000000000E-02,	1.5407555905969500E-01
	-6.2500000000000000E-02,	1.5407555905969511E-01
	-3.1250000000000000E-02,	1.5407555905969500E-01
	0.0000000000000000E+00,	1.5407555905969511E-01
	3.1250000000000000E-02,	1.5901978391246030E-01
	6.2500000000000000E-02,	1.6396400876522560E-01
	9.3750000000000000E-02,	1.6890823361799090E-01
	1.2500000000000000E-01,	1.7385245847075609E-01
	1.5625000000000000E-01,	1.7879668332352139E-01
	1.8750000000000000E-01,	1.8374090817628660E-01
	2.1875000000000000E-01,	1.8868513302905190E-01
	2.5000000000000000E-01,	1.9362935788181720E-01
	2.8125000000000000E-01,	1.9857358273458239E-01
	3.1250000000000000E-01,	2.0351780758734769E-01
	3.4375000000000000E-01,	2.0846203244011291E-01
	3.7500000000000000E-01,	2.1340625729287821E-01
	4.0625000000000000E-01,	2.1835048214564351E-01
	4.3750000000000000E-01,	2.2329470699840881E-01
	4.6875000000000000E-01,	2.2823893185117400E-01
	5.0000000000000000E-01,	2.3318315670393930E-01
	5.3125000000000000E-01,	2.2823893185117400E-01
	5.6250000000000000E-01,	2.2329470699840881E-01
	5.9375000000000000E-01,	2.1835048214564351E-01
	6.2500000000000000E-01,	2.1340625729287821E-01
	6.5625000000000000E-01,	2.0846203244011299E-01
	6.8750000000000000E-01,	2.0351780758734780E-01
	7.1875000000000000E-01,	1.9857358273458239E-01
	7.5000000000000000E-01,	1.9362935788181709E-01
	7.8125000000000000E-01,	1.8868513302905190E-01
	8.1250000000000000E-01,	1.8374090817628660E-01
	8.4375000000000000E-01,	1.7879668332352139E-01
	8.7500000000000000E-01,	1.7385245847075609E-01
	9.0625000000000000E-01,	1.6890823361799079E-01
	9.3750000000000000E-01,	1.6396400876522560E-01
	9.6875000000000000E-01,	1.5901978391246030E-01
	1.0000000000000000E+00,	1.5407555905969511E-01
	1.0312500000000000E+00,	1.5407555905969511E-01
	1.0625000000000000E+00,	1.5407555905969511E-01
	1.0937500000000000E+00,	1.5407555905969511E-01
	1.1250000000000000E+00,	1.5407555905969500E-01
	1.1562500000000000E+00,	1.5407555905969500E-01
	1.1875000000000000E+00,	1.5407555905969511E-01
	1.2187500000000000E+00,	1.5407555905969511E-01
	1.2500000000000000E+00,	1.5407555905969511E-01
	1.2812500000000000E+00,	1.5407555905969500E-01
	1.3125000000000000E+00,	1.5407555905969500E-01
	1.3437500000000000E+00,	1.5407555905969511E-01
	1.3750000000000000E+00,	1.5407555905969500E-01
	1.4062500000000000E+00,	1.5407555905969511E-01
	1.4375000000000000E+00,	1.5407555905969511E-01
	1.4687500000000000E+00,	1.5407555905969511E-01
	1.5000000000000000E+00,	1.5407555905969511E-01
	-5.0000000000000000E-01,	1.8497844410521530E-01
	-4.6875000000000000E-01,	1.8497844410521530E-01
	-4.3750000000000000E-01,	1.8497844410521530E-01
	-4.0625000000000000E-01,	1.8497844410521519E-01
	-3.7500000000000000E-01,	1.8497844410521530E-01
	-3.4375000000000000E-01,	1.8497844410521530E-01
	-3.1250000000000000E-01,	1.8497844410521530E-01
	-2.8125000000000000E-01,	1.8497844410521530E-01
	-2.5000000000000000E-01,	1.8497844410521530E-01
	-2.1875000000000000E-01,	1.8497844410521519E-01
	-1.8750000000000000E-01,	1.8497844410521530E-01
	-1.5625000000000000E-01,	1.8497844410521530E-01
	-1.2500000000000000E-01,	1.8497844410521530E-01
	-9.3750000000000000E-02,	1.8497844410521519E-01
	-6.2500000000000000E-02,	1.8497844410521530E-01
	-3.1250000000000000E-02,	1.8497844410521519E-01
	0.0000000000000000E+00,	1.8497844410521530E-01
	3.1250000000000000E-02,	1.8980914786599601E-01
	6.2500000000000000E-02,	1.9463985162677669E-01
	9.3750000000000000E-02,	1.9947055538755751E-01
	1.2500000000000000E-01,	2.0430125914833830E-01
	1.5625000000000000E-01,	2.0913196290911901E-01
	1.8750000000000000E-01,	2.1396266666989969E-01
	2.1875000000000000E-01,	2.1879337043068040E-01
	2.5000000000000000E-01,	2.2362407419146110E-01
	2.8125000000000000E-01,	2.2845477795224189E-01
	3.1250000000000000E-01,	2.3328548171302260E-01
	3.4375000000000000E-01,	2.3811618547380331E-01
	3.7500000000000000E-01,	2.4294688923458410E-01
	4.0625000000000000E-01,	2.4777759299536481E-01
	4.3750000000000000E-01,	2.5260829675614560E-01
	4.6875000000000000E-01,	2.5743900051692631E-01
	5.0000000000000000E-01,	2.6226970427770702E-01
	5.3125000000000000E-01,	2.5743900051692631E-01
	5.6250000000000000E-01,	2.5260829675614560E-01
	5.9375000000000000E-01,	2.4777759299536481E-01
	6.2500000000000000E-01,	2.4294688923458410E-01
	6.5625000000000000E-01,	2.3811618547380339E-01
	6.8750000000000000E-01,	2.3328548171302271E-01
	7.1875000000000000E-01,	2.2845477795224189E-01
	7.5000000000000000E-01,	2.2362407419146110E-01
	7.8125000000000000E-01,	2.1879337043068040E-01
	8.1250000000000000E-01,	2.1396266666989969E-01
	8.4375000000000000E-01,	2.0913196290911901E-01
	8.7500000000000000E-01,	2.0430125914833819E-01
	9.0625000000000000E-01,	1.9947055538755751E-01
	9.3750000000000000E-01,	1.9463985162677680E-01
	9.6875000000000000E-01,	1.8980914786599601E-01
	1.0000000000000000E+00,	1.8497844410521530E-01
	1.0312500000000000E+00,	1.8497844410521530E-01
	1.0625000000000000E+00,	1.8497844410521530E-01
	1.0937500000000000E+00,	1.8497844410521530E-01
	1.1250000000000000E+00,	1.8497844410521519E-01
	1.1562500000000000E+00,	1.8497844410521519E-01
	1.1875000000000000E+00,	1.8497844410521530E-01
	1.2187500000000000E+00,	1.8497844410521530E-01
	1.2500000000000000E+00,	1.8497844410521530E-01
	1.2812500000000000E+00,	1.8497844410521519E-01
	1.3125000000000000E+00,	1.8497844410521519E-01
	1.3437500000000000E+00,	1.8497844410521530E-01
	1.3750000000000000E+00,	1.8497844410521519E-01
	1.4062500000000000E+00,	1.8497844410521530E-01
	1.4375000000000000E+00,	1.8497844410521530E-01
	1.4687500000000000E+00,	1.8497844410521530E-01
	1.5000000000000000E+00,	1.8497844410521530E-01
	-5.0000000000000000E-01,	2.1590912855208949E-01
	-4.6875000000000000E-01,	2.1590912855208949E-01
	-4.3750000000000000E-01,	2.1590912855208960E-01
	-4.0625000000000000E-01,	2.1590912855208949E-01
	-3.7500000000000000E-01,	2.1590912855208960E-01
	-3.4375000000000000E-01,	2.1590912855208949E-01
	-3.1250000000000000E-01,	2.1590912855208960E-01
	-2.8125000000000000E-01,	2.1590912855208960E-01
	-2.5000000000000000E-01,	2.1590912855208949E-01
	-2.1875000000000000E-01,	2.1590912855208949E-01
	-1.8750000000000000E-01,	2.1590912855208949E-01
	-1.5625000000000000E-01,	2.1590912855208949E-01
	-1.2500000000000000E-01,	2.1590912855208960E-01
	-9.3750000000000000E-02,	2.1590912855208949E-01
	-6.2500000000000000E-02,	2.1590912855208949E-01
	-3.1250000000000000E-02,	2.1590912855208949E-01
	0.0000000000000000E+00,	2.1590912855208949E-01
	3.1250000000000000E-02,	2.2062620910037520E-01
	6.2500000000000000E-02,	2.2534328964866090E-01
	9.3750000000000000E-02,	2.3006037019694650E-01
	1.2500000000000000E-01,	2.3477745074523229E-01
	1.5625000000000000E-01,	2.3949453129351789E-01
	1.8750000000000000E-01,	2.4421161184180351E-01
	2.1875000000000000E-01,	2.4892869239008919E-01
	2.5000000000000000E-01,	2.5364577293837492E-01
	2.8125000000000000E-01,	2.5836285348666038E-01
	3.1250000000000000E-01,	2.6307993403494617E-01
	3.4375000000000000E-01,	2.6779701458323180E-01
	3.7500000000000000E-01,	2.7251409513151748E-01
	4.0625000000000000E-01,	2.7723117567980321E-01
